NAME_FIRST | user[billing][firstname] |  |  | user[billing][firstname]_1-default
NAME_LAST | user[billing][lastname] |  |  | user[billing][firstname]_1-default
UNKNOWN_TYPE | user[billing][address_first] |  |  | user[billing][firstname]_1-default
UNKNOWN_TYPE | user[billing][address_second] |  |  | user[billing][firstname]_1-default
ADDRESS_HOME_CITY | user[billing][city] |  |  | user[billing][firstname]_1-default
ADDRESS_HOME_STATE | user[billing][state] | State/Province | CA | user[billing][firstname]_1-default
ADDRESS_HOME_ZIP | user[billing][zip] | Billing Postal Code | 94043 | user[billing][firstname]_1-default
ADDRESS_HOME_COUNTRY | user[billing][country] | Billing Country | US | user[billing][firstname]_1-default
PHONE_HOME_WHOLE_NUMBER | user[phone_first] |  |  | user[billing][firstname]_1-default
EMAIL_ADDRESS | user[email] |  |  | user[billing][firstname]_1-default
EMAIL_ADDRESS | user[email_confirm] |  |  | user[billing][firstname]_1-default
CREDIT_CARD_NUMBER | payment[cc_number] |  |  | user[billing][firstname]_1-cc
CREDIT_CARD_EXP_MONTH | payment[cc_expmo] |  |  | user[billing][firstname]_1-cc
CREDIT_CARD_EXP_4_DIGIT_YEAR | payment[cc_expyr] |  |  | user[billing][firstname]_1-cc
UNKNOWN_TYPE | payment[sigpanel] |  |  | user[billing][firstname]_1-default
